dataset,model,input_length,prediction_length,mse,mae,rmse,mape,mspe
Health,iTransformer_GPT2_Health_ftSsl36ll0pl48pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,36,48,1.3966306447982788,0.8293617963790894,1.1817913055419922,3.5810611248016357,217.79901123046875
Health,iTransformer_GPT2_Health_ftSsl24ll0pl12pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,12,1.1447196006774902,0.7265479564666748,1.0699156522750854,3.7275595664978027,462.03826904296875
Environment,iTransformer_GPT2_Environment_ftSsl84ll0pl336pw0.1dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,84,336,0.2775565981864929,0.40668436884880066,0.5268363952636719,0.995498776435852,14.114483833312988
Environment,iTransformer_GPT2_Environment_ftSsl24ll0pl96pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,96,0.27385663986206055,0.38148584961891174,0.5233131647109985,1.0821503400802612,18.452116012573242
Environment,iTransformer_GPT2_Environment_ftSsl84ll0pl96pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,84,96,0.27475154399871826,0.3869757354259491,0.5241674780845642,1.0684821605682373,16.996204376220703
Environment,iTransformer_GPT2_Environment_ftSsl84ll0pl24pw0.1dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,84,24,0.2687858045101166,0.3683207929134369,0.5184455513954163,1.1394881010055542,20.445615768432617
Environment,iTransformer_GPT2_Environment_ftSsl84ll0pl192pw0.2dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,84,192,0.27592435479164124,0.3986826241016388,0.525285005569458,1.022619366645813,16.13220977783203
Environment,iTransformer_GPT2_Environment_ftSsl24ll0pl336pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,336,0.27623438835144043,0.401044636964798,0.5255800485610962,1.0415968894958496,16.43607521057129
Environment,iTransformer_GPT2_Environment_ftSsl24ll0pl24pw0.2dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,24,0.2703549563884735,0.38389137387275696,0.5199567079544067,1.0631327629089355,16.96050262451172
Environment,iTransformer_GPT2_Environment_ftSsl24ll0pl192pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,192,0.2630886137485504,0.3779377043247223,0.5129216313362122,1.0814297199249268,19.35482406616211
Traffic,iTransformer_GPT2_Traffic_ftSsl24ll0pl10pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,10,0.15763461589813232,0.2819966673851013,0.3970322608947754,0.2592044472694397,0.29104751348495483
Traffic,iTransformer_GPT2_Traffic_ftSsl8ll0pl6pw0.2dm256nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,6,0.14324034750461578,0.22642476856708527,0.3784710764884949,0.24704770743846893,0.3675239384174347
Traffic,iTransformer_GPT2_Traffic_ftSsl8ll0pl8pw0.5dm256nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,8,0.1462935209274292,0.22978144884109497,0.3824833631515503,0.2455681562423706,0.3652850389480591
Traffic,iTransformer_GPT2_Traffic_ftSsl24ll0pl8pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,8,0.15150173008441925,0.27422896027565,0.38923221826553345,0.24994462728500366,0.2714574635028839
Traffic,iTransformer_GPT2_Traffic_ftSsl8ll0pl10pw0.1dm256nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,10,0.1555434912443161,0.25376880168914795,0.3943900167942047,0.2653563320636749,0.38661158084869385
Traffic,iTransformer_GPT2_Traffic_ftSsl24ll0pl6pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,6,0.1476725935935974,0.27389729022979736,0.3842819333076477,0.2463880479335785,0.25863829255104065
Traffic,iTransformer_GPT2_Traffic_ftSsl24ll0pl12pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,12,0.1612578183412552,0.2912483811378479,0.4015691876411438,0.2643778324127197,0.28853344917297363
Traffic,iTransformer_GPT2_Traffic_ftSsl8ll0pl12pw0.9dm128nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,12,0.17419886589050293,0.30001911520957947,0.41737136244773865,0.2820744514465332,0.3796716630458832
Climate,iTransformer_GPT2_Climate_ftSsl24ll0pl10pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,10,0.8926690220832825,0.7510270476341248,0.9448116421699524,2.088787078857422,24.906288146972656
Climate,iTransformer_GPT2_Climate_ftSsl8ll0pl6pw0.1dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,6,0.8818327188491821,0.7545768618583679,0.9390594959259033,1.9791278839111328,21.517501831054688
Climate,iTransformer_GPT2_Climate_ftSsl8ll0pl8pw0.1dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,8,0.9006462693214417,0.7563154697418213,0.9490238428115845,2.2009246349334717,32.116363525390625
Climate,iTransformer_GPT2_Climate_ftSsl24ll0pl8pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,8,0.892764687538147,0.7539961338043213,0.9448622465133667,2.2471773624420166,30.947721481323242
Climate,iTransformer_GPT2_Climate_ftSsl8ll0pl10pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,10,0.9017441868782043,0.7601969242095947,0.9496021270751953,2.162458658218384,26.684843063354492
Climate,iTransformer_GPT2_Climate_ftSsl24ll0pl6pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,6,0.8976659774780273,0.7546064853668213,0.9474523663520813,2.3299560546875,36.40605926513672
Climate,iTransformer_GPT2_Climate_ftSsl24ll0pl12pw0.2dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,12,0.9225748181343079,0.7654202580451965,0.9605075716972351,2.125084161758423,25.799205780029297
Climate,iTransformer_GPT2_Climate_ftSsl8ll0pl12pw0.2dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,12,0.91902756690979,0.7685912251472473,0.9586592316627502,2.1855733394622803,28.53409767150879
SocialGood,iTransformer_GPT2_SocialGood_ftSsl24ll0pl10pw0.2dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,10,0.7084798216819763,0.39879345893859863,0.8417124152183533,0.793332576751709,8.59739875793457
